id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,percent_internet_access,student_teacher_ratio
470359001484,0.0676369863013699,0.789902280130293,0.721139430284858,83846.0,18.3,0.452970297029703,2016-2017,TN,37840,Regular School,High,No,0.7240000000000001,68.2
470359001486,0.0617816091954023,0.595064498037016,0.638474295190713,46753.0,19.8,0.313218390804598,2016-2017,TN,37763,Regular School,High,No,0.7240000000000001,88.375
470359001489,0.125644329896907,0.303016241299304,0.571798188874515,23385.0,18.5,0.491071428571429,2016-2017,TN,37854,Regular School,High,No,0.7240000000000001,84.92366412213741
470360001497,0.132823698041089,0.580865603644647,0.854120267260579,70542.0,19.8,0.277139208173691,2016-2017,TN,37073,Regular School,High,No,0.7240000000000001,81.96078431372548
470360001503,0.116947472745292,0.311944337069965,0.470119521912351,36964.0,18.8,0.519962859795729,2016-2017,TN,37172,Regular School,High,No,0.7240000000000001,77.73826458036984
470360001507,0.0826759230041022,0.63499245852187,0.918437679494543,59085.0,20.1,0.231590181430096,2016-2017,TN,37188,Regular School,High,No,0.7240000000000001,88.9679715302491
470369001354,0.0634253335770426,0.816793893129771,0.710859136502399,66343.0,21.0,0.207642031171443,2016-2017,TN,37128,Regular School,High,No,0.7240000000000001,90.75770191507078
470369001523,0.0807531380753138,0.688744588744589,0.695488721804511,46789.0,19.0,0.378112033195021,2016-2017,TN,37130,Regular School,High,No,0.7240000000000001,88.18548387096774
470369001524,0.125651041666667,0.41820418204182,0.282608695652174,29088.0,19.3,0.255543822597677,2016-2017,TN,37128,Regular School,High,No,0.7240000000000001,83.25102880658436
470369001987,0.0252918287937743,0.600267976775346,0.493589743589744,42028.0,17.4,0.514472965592572,2016-2017,TN,37086,Regular School,High,No,0.7240000000000001,80.46875
470369001988,0.0389768574908648,0.674157303370786,0.23292469352014,32917.0,19.0,0.411927112092766,2016-2017,TN,37167,Regular School,High,No,0.7240000000000001,77.31404958677686
470369002038,0.0687167805618831,0.862264820731274,0.905365853658537,100977.0,20.7,0.248166948674563,2016-2017,TN,37129,Regular School,High,No,0.7240000000000001,76.94974003466204
470372001539,0.142608695652174,0.311854103343465,0.763693270735524,27778.0,16.8,0.690566037735849,2016-2017,TN,37756,Regular School,High,No,0.7240000000000001,81.62217659137576
470375001544,0.129069103369503,0.459005066789498,0.747519841269841,39683.0,19.4,0.530551415797317,2016-2017,TN,37327,Regular School,High,No,0.7240000000000001,78.91156462585033
470378001133,0.101820633850303,0.416422287390029,0.572981366459627,26458.0,20.0,0.494459833795014,2016-2017,TN,37863,Regular School,High,No,0.7240000000000001,70.93457943925233
470378001549,0.0443877551020408,0.513091641490433,0.599056603773585,36318.0,23.9,0.414309484193012,2016-2017,TN,37738,Regular School,High,No,0.7240000000000001,68.40193704600485
470378001557,0.0333523375142531,0.549082435187882,0.663036078965282,42911.0,19.0,0.3733950040528055,2016-2017,TN,37862,Regular School,High,No,0.7240000000000001,68.69722557297949
470378001562,0.0611831442463533,0.526824034334764,0.811458333333333,50935.0,20.5,0.298994974874372,2016-2017,TN,37865,Regular School,High,No,0.7240000000000001,85.42319749216301
470387001604,0.126024590163934,0.376584638329605,0.593511450381679,34408.0,18.7,0.401326699834163,2016-2017,TN,37030,Regular School,High,No,0.7240000000000001,77.70618556701031
470387002047,0.064922480620155,0.351844807911754,0.777870216306156,49954.0,18.1,0.342222222222222,2016-2017,TN,38563,Regular School,High,No,0.7240000000000001,72.58064516129032
470396001612,0.163475011676787,0.423116263211729,0.720706260032103,37614.0,19.4,0.374617737003058,2016-2017,TN,37058,Regular School,High,No,0.7240000000000001,97.8386167146974
470399001624,0.0646227832882477,0.745873648264087,0.777426992896606,57425.0,19.3,0.35258358662614,2016-2017,TN,37617,Regular School,High,No,0.7240000000000001,74.6218487394958
470399001630,0.0666003976143141,0.4875,0.723174030658251,41224.0,18.8,0.45755237045204,2016-2017,TN,37618,Regular School,High,No,0.7240000000000001,76.26016260162602
